person_code,email,password,name,surname
00000001,Giovanni.D'Angelo@mail.polimi.it,$2a$12$crck4UrbfLfrx3aSgbr0TO64CRLV/sydF4xfXYX5yDR4G8wYCGnDq,Giovanni,D'Angelo
00000002,Matilde.Ferri@mail.polimi.it,$2a$12$JBYqTR5wb1CzGCyKfnrH4.7uqOoOr2jr.WF7cMEWkJEDW2ialX/aq,Matilde,Ferri
00000003,Diego.Fontana@mail.polimi.it,$2a$12$fPukbNAQV8.TcQHS2paTbOITIUcMJ3Nt4CZ8qGPyb9pnGx/PFguo.,Diego,Fontana
00000004,Giulia.Esposito@mail.polimi.it,$2a$12$gUJloBWzIpuYVvbNUv46mu4LMaVxavsSHPYtjI8B1Z8bjcn6ElK2O,Giulia,Esposito
00000005,Erica.Poletti@mail.polimi.it,$2a$12$EWYL.93qXF0Qls.aIyYjlOn/yO/1Sx3N4WKf2mE2L81hwmKqFegVe,Erica,Poletti
00000006,Giovanni.Zanella@mail.polimi.it,$2a$12$as5qo8I5J/dhrddry3l6X.Aa9e7G1KU876paI8C9l.mcEWqNGiz9.,Giovanni,Zanella
00000007,Enrico.Sala@mail.polimi.it,$2a$12$SJua6xhBA/RRYYo2w14kIug/AHHkra8TzdivCbKkANIYGLaeRgJMq,Enrico,Sala
00000008,Maria.Martini@mail.polimi.it,$2a$12$JQWFWHz6/DqrlBZ5y2JOiu33dQ1ykAkKTmZp2czEm3zeYGexao66K,Maria,Martini
00000009,Filippo.Gatti@mail.polimi.it,$2a$12$QvVGpEXk7ZOGIKb/CL.5OOI4/hT1EP6WiFcZb3nDCpcz.37HNfu46,Filippo,Gatti
00000010,Giovanni.Gallo@mail.polimi.it,$2a$12$rgX0iR1FysyMLzxcQCQvSe09tjt44FS3boeuvAXeK1hp30asVZjSO,Giovanni,Gallo
00000011,Alessandro.Martini@mail.polimi.it,$2a$12$J9H7Wh8HfiiA35Qxm6NDTeaUJ8NenNFSDkD8mWKG2EyPIWWnKp0r6,Alessandro,Martini
00000012,Elisa.Ferri@mail.polimi.it,$2a$12$l0JgHKIUvNTRGiYdN0X89.oUINmkCf1D7hWcK33deuINAnQpVDf82,Elisa,Ferri
00000013,Giulia.Mariani@mail.polimi.it,$2a$12$iE.9sAMCrTpSXE4mgxEzle0bDXwVSvzsrqrIT/2kk.IFl9oLvlPhG,Giulia,Mariani
00000014,Martina.Gallo@mail.polimi.it,$2a$12$Koex9xKB5ZiZzN1uONWLkeGW6tiJu23fy3cCK8lt2tMTtYLIwfsiK,Martina,Gallo
00000015,Matteo.Martini@mail.polimi.it,$2a$12$.dtLfT2HjXckgrV86Sr4Pe0qZJmxLSPmp98wBl.cXWiErygsxzJ1.,Matteo,Martini
00000016,Greta.Poletti@mail.polimi.it,$2a$12$Td/wLlkJ6.br9fnqA7x1t.q.e/MmRXAFrGrr3w32O0HdQhtFqlalq,Greta,Poletti
00000017,Daniele.Greco@mail.polimi.it,$2a$12$70kvl5PJHwrpDq5nsMYh5OffqSjc.MBPQ/rfLg/YEJugaHOETbXr6,Daniele,Greco
00000018,Tommaso.Marini@mail.polimi.it,$2a$12$.whoo4auux.6Ias4GcLi8uhkw2K5bC1HvkVCpY4SJspiFOTxDEuVq,Tommaso,Marini
